rounds,time
80,9.48
79,3.23
78,5.67
77,3.61
76,8.06
75,1.18
74,0.82
73,4.45
72,11.59
71,4.33
70,1.46
69,1.46
68,1.80
67,2.72
66,6.11
65,9.20
64,2.13
63,1.42
62,8.05
61,1.34
60,2.16
59,2.92
58,1.03
57,3.28
56,0.98
55,1.90
54,1.11
53,7.14
52,6.85
51,1.07
50,0.99
49,1.11
48,0.80
47,2.08
46,4.79
45,1.12
44,0.74
43,1.40
42,1.27
41,0.57
40,1.06
39,1.80
38,0.81
37,0.93
36,0.66
35,0.55
34,2.65
33,0.74
32,0.50
31,0.29
30,0.52
29,1.07
28,1.28
27,0.40
26,0.52
25,0.25
24,0.54
23,0.27
22,0.68
21,0.30
20,0.24
19,0.18
18,0.22
17,0.20
16,0.18
15,0.24
14,0.58
13,0.18
12,0.16
11,0.57
10,0.36
9,0.12
8,0.13
7,0.23
6,0.09
5,0.08
4,0.06
3,0.06
2,0.06
1,0.05
0,0.05
80,5.35
79,5.80
78,3.44
77,2.10
76,5.93
75,6.75
74,8.97
73,4.77
72,1.10
71,1.85
70,1.57
69,1.89
68,3.87
67,1.34
66,0.76
65,2.50
64,3.56
63,2.50
62,10.94
61,1.21
60,0.68
59,2.35
58,3.22
57,0.96
56,1.84
55,2.70
54,2.43
53,2.23
52,1.57
51,1.52
50,9.59
49,1.34
48,3.35
47,0.62
46,2.91
45,1.15
44,0.98
43,1.11
42,0.76
41,0.67
40,1.29
39,3.03
38,2.10
37,1.37
36,0.68
35,0.36
34,1.23
33,0.64
32,1.01
31,0.97
30,0.32
29,1.01
28,0.47
27,1.27
26,0.40
25,0.78
24,1.44
23,0.39
22,0.92
21,0.30
20,0.26
19,0.24
18,0.35
17,0.76
16,0.38
15,0.36
14,0.47
13,0.33
12,0.29
11,0.14
10,0.19
9,0.22
8,0.16
7,0.14
6,0.13
5,0.07
4,0.06
3,0.06
2,0.05
1,0.04
0,0.05
80,1.39
79,4.97
78,1.93
77,5.17
76,5.17
75,8.11
74,11.68
73,3.50
72,10.44
71,3.29
70,5.47
69,3.64
68,2.62
67,1.38
66,2.24
65,7.38
64,2.51
63,0.70
62,4.25
61,6.31
60,3.12
59,0.80
58,0.86
57,3.06
56,1.48
55,1.28
54,1.74
53,1.81
52,2.12
51,1.63
50,5.38
49,2.10
48,2.44
47,2.42
46,3.08
45,1.17
44,0.54
43,0.68
42,0.37
41,2.04
40,1.39
39,0.39
38,2.10
37,2.96
36,0.43
35,0.57
34,0.89
33,0.38
32,0.45
31,1.02
30,0.42
29,0.84
28,0.52
27,0.44
26,0.57
25,0.56
24,0.87
23,0.36
22,0.20
21,0.20
20,0.24
19,1.10
18,0.21
17,0.24
16,0.31
15,0.16
14,0.22
13,0.40
12,1.18
11,0.22
10,0.29
9,0.34
8,0.12
7,0.18
6,0.09
5,0.07
4,0.06
3,0.06
2,0.04
1,0.05
0,0.05
80,5.15
79,1.79
78,1.89
77,1.65
76,2.06
75,3.31
74,6.00
73,1.84
72,2.97
71,6.51
70,4.69
69,2.86
68,1.39
67,5.59
66,1.50
65,12.38
64,0.86
63,1.79
62,16.96
61,2.48
60,3.98
59,10.22
58,3.22
57,3.06
56,3.20
55,4.42
54,7.94
53,4.92
52,2.05
51,1.95
50,6.00
49,0.58
48,1.25
47,1.24
46,1.19
45,0.65
44,1.39
43,1.32
42,0.40
41,3.44
40,0.93
39,0.71
38,0.38
37,0.78
36,1.53
35,1.07
34,0.60
33,0.38
32,0.51
31,0.53
30,2.00
29,0.46
28,1.27
27,0.30
26,2.10
25,0.61
24,0.29
23,0.48
22,0.32
21,0.20
20,0.20
19,0.31
18,1.27
17,0.19
16,0.19
15,0.63
14,0.22
13,0.15
12,0.14
11,0.18
10,0.22
9,0.18
8,0.17
7,0.16
6,0.18
5,0.06
4,0.06
3,0.05
